iter	MultiClass
0	1.18100425
1	0.9889980298
2	0.8650873302
3	0.7779689748
4	0.7137673907
5	0.6650448206
6	0.627446782
7	0.5980647442
8	0.5747627204
9	0.5561736083
10	0.5412701201
11	0.5292087579
12	0.519512139
13	0.5115637444
14	0.5050890138
15	0.4995495976
16	0.495045469
17	0.4911629313
18	0.4879418796
19	0.4853551769
20	0.4831981708
21	0.4814115153
22	0.4798835772
23	0.4786410752
24	0.4775823629
25	0.4764501347
26	0.4754813565
27	0.4745924209
28	0.4738160074
29	0.4732078021
30	0.4725852701
31	0.4720769334
32	0.4714599438
33	0.4710650704
34	0.470734981
35	0.4702938857
36	0.4699225417
37	0.469590413
38	0.4693341532
39	0.4689756718
40	0.4686238831
41	0.468273454
42	0.4679486456
43	0.4674447533
44	0.4669705079
45	0.4665033736
46	0.4661640293
47	0.4658751422
48	0.4657005551
49	0.4654079556
50	0.4650605068
51	0.4648669917
52	0.4643180801
53	0.4639409844
54	0.4637416131
55	0.4633803605
56	0.4631013557
57	0.4627881028
58	0.4623659355
59	0.4622421716
60	0.4617319525
61	0.4614928429
62	0.4613283472
63	0.4611040349
64	0.4609277746
65	0.4607485339
66	0.4605427835
67	0.4602369554
68	0.4599756237
69	0.4598210626
70	0.4596288546
71	0.4594113396
72	0.459021329
73	0.4588397877
74	0.4586026127
75	0.4584699599
76	0.4583044708
77	0.4580636357
78	0.4578313757
79	0.4576578343
80	0.4572986209
81	0.4570040345
82	0.4568190945
83	0.4565926384
84	0.4563942605
85	0.4562055035
86	0.455936015
87	0.4556684089
88	0.455491678
89	0.4552542415
90	0.4549226358
91	0.4547909242
92	0.4544274232
93	0.454197307
94	0.4540331773
95	0.4538306688
96	0.4535472719
97	0.4533544888
98	0.453138281
99	0.4529184131
100	0.4525129777
101	0.4523030444
102	0.452096562
103	0.4519180533
104	0.4517926162
105	0.4516359636
106	0.4515272061
107	0.4514133768
108	0.4512114957
109	0.45106666
110	0.450820021
111	0.4505209902
112	0.4502343515
113	0.4500716335
114	0.4499677388
115	0.4497653348
116	0.4495863032
117	0.4494195592
118	0.4493280042
119	0.4492086847
120	0.4490023069
121	0.4487327661
122	0.4485901265
123	0.4484430424
124	0.4482277235
125	0.44798281
126	0.4477744976
127	0.4475363292
128	0.4473588662
129	0.4471465277
130	0.4470467113
131	0.4468954966
132	0.4466888574
133	0.4465522831
134	0.4463793168
135	0.4462662195
136	0.4462330694
137	0.446033855
138	0.4457321575
139	0.4454991655
140	0.4452634023
141	0.4451156385
142	0.4449658878
143	0.4448160848
144	0.4446129488
145	0.4443898391
146	0.4442301539
147	0.4439308093
148	0.4437334249
149	0.4435617136
150	0.4433249569
151	0.4432143171
152	0.4430903963
153	0.4429684624
154	0.4427469736
155	0.4425143476
156	0.4422443362
157	0.4420064292
158	0.4419080769
159	0.4416891502
160	0.4415908501
161	0.4414162107
162	0.4413468778
163	0.4412157414
164	0.4410518731
165	0.4408552208
166	0.4406321111
167	0.4404908309
168	0.4402689761
169	0.4400646898
170	0.4399288998
171	0.4396887444
172	0.4394588374
173	0.4392969038
174	0.4391875188
175	0.4389642
176	0.4387837567
177	0.4386103198
178	0.438460177
179	0.438227551
180	0.4379952126
181	0.4377989524
182	0.4376861949
183	0.4375378037
184	0.4373961052
185	0.437353282
186	0.437223871
187	0.4371086299
188	0.436977415
189	0.436764083
190	0.4366452603
191	0.4365180454
192	0.4364392746
193	0.4363155368
194	0.4361051068
195	0.4359744671
196	0.4358722455
197	0.4356865473
198	0.4354914374
199	0.4351863675
200	0.4350822112
201	0.4350029176
202	0.4349503689
203	0.4347836249
204	0.4346768805
205	0.4344594439
206	0.4342928829
207	0.4341303741
208	0.4339712378
209	0.4338694084
210	0.43379835
211	0.4336894357
212	0.433524208
213	0.4334303262
214	0.4332038962
215	0.4330716879
216	0.4328483691
217	0.4327299384
218	0.4326153771
219	0.4324768943
220	0.4323425422
221	0.4322419153
222	0.432010492
223	0.431884349
224	0.4316680889
225	0.4314904168
226	0.4313545745
227	0.4311856344
228	0.4310092956
229	0.4309079629
230	0.4308276236
231	0.4306683043
232	0.4305292202
233	0.4303158098
234	0.4302146078
235	0.4299789492
236	0.4297820092
237	0.4296540362
238	0.429531501
239	0.4291568105
240	0.4289099624
241	0.4287724469
242	0.4285856768
243	0.4285182263
244	0.4282965545
245	0.4280620723
246	0.4279130013
247	0.427742022
248	0.4275661015
249	0.427432403
250	0.4273153319
251	0.4271658688
252	0.4268363283
253	0.4265915456
254	0.426425612
255	0.4261944762
256	0.4260812743
257	0.4258387921
258	0.4257057733
259	0.4255854342
260	0.425406638
261	0.4252449396
262	0.425116313
263	0.4249295691
264	0.4247126815
265	0.4245419898
266	0.4243825398
267	0.4242858345
268	0.4241089206
269	0.4240168166
270	0.4239148826
271	0.4237075114
272	0.423485186
273	0.4233869121
274	0.423248377
275	0.4229815813
276	0.4228517259
277	0.4227156483
278	0.4225219502
279	0.4223421082
280	0.4222705269
281	0.422161874
282	0.4219855091
283	0.4215425838
284	0.4213780097
285	0.4211686253
286	0.4209346137
287	0.4207016217
288	0.4204654402
289	0.420384212
290	0.4202223829
291	0.4198958229
292	0.4196369225
293	0.4193937345
294	0.4192706765
295	0.4190622595
296	0.4189097376
297	0.4187484052
298	0.4186556477
299	0.4185880925
300	0.4185107335
301	0.4183274406
302	0.4181858728
303	0.4181424221
304	0.4180577952
305	0.4178733519
306	0.4176548435
307	0.4175655891
308	0.4173302965
309	0.4172285455
310	0.4171620361
311	0.4169922594
312	0.4168989528
313	0.4166527844
314	0.4164461452
315	0.4161783037
316	0.4159933898
317	0.415934436
318	0.4156900715
319	0.415274963
320	0.4151219443
321	0.414891436
322	0.4146758556
323	0.4144746804
324	0.4141722248
325	0.4139643568
326	0.4138294557
327	0.4136980317
328	0.4135523856
329	0.4133507398
330	0.4132769886
331	0.4131947407
332	0.413081931
333	0.4129499057
334	0.412857671
335	0.4128121549
336	0.4126603389
337	0.4125361305
338	0.4124382488
339	0.4123557133
340	0.4122160018
341	0.4120628001
342	0.4118439518
343	0.4117878737
344	0.4115546203
345	0.4114497059
346	0.4113047918
347	0.411134806
348	0.4109251341
349	0.4107103642
350	0.410544326
351	0.410422549
352	0.4102801446
353	0.4101682761
354	0.410030656
355	0.4099577676
356	0.4098002784
357	0.4096888542
358	0.4095193651
359	0.4092487001
360	0.4090832371
361	0.4088429772
362	0.4086830566
363	0.4085549267
364	0.408323085
365	0.4081643671
366	0.4081012041
367	0.4079054667
368	0.4077728924
369	0.4076213901
370	0.4075304103
371	0.4074626983
372	0.4072854706
373	0.4071067528
374	0.4069984659
375	0.4068627805
376	0.4066732653
377	0.4065491615
378	0.4063704175
379	0.4062029938
380	0.40612404
381	0.4060178707
382	0.4059288255
383	0.4057425261
384	0.4055433901
385	0.4052270522
386	0.4050775629
387	0.4049297991
388	0.4047568852
389	0.4045651478
390	0.4043825346
391	0.4041949802
392	0.4041186931
393	0.4040264323
394	0.4038105905
395	0.4037192708
396	0.4035220694
397	0.4033759788
398	0.4032632998
399	0.4032027773
400	0.4031321372
401	0.4029792754
402	0.4027868583
403	0.4027285058
404	0.4025236704
405	0.4024149652
406	0.4022736066
407	0.4021499734
408	0.4020597256
409	0.4019321186
410	0.4018890078
411	0.4017069958
412	0.4014785267
413	0.4012664757
414	0.4011322805
415	0.4009902422
416	0.4007982956
417	0.400689878
418	0.4005575913
419	0.4004193176
420	0.4002977236
421	0.4002181686
422	0.4000109803
423	0.3997753478
424	0.3996227475
425	0.3994855719
426	0.3993702
427	0.3990453655
428	0.3988767652
429	0.3987232237
430	0.3986194858
431	0.398562545
432	0.3983576574
433	0.3982266778
434	0.3980853192
435	0.3979542873
436	0.3976279626
437	0.3975375841
438	0.3974010098
439	0.3972818733
440	0.3971843314
441	0.3970616132
442	0.3969657445
443	0.3968912352
444	0.3967721248
445	0.3967146088
446	0.3965177996
447	0.3963511079
448	0.3962431608
449	0.3960857239
450	0.3958641567
451	0.3957338307
452	0.3956248902
453	0.3954742506
454	0.3953289966
455	0.3951899648
456	0.3951023837
457	0.3948381762
458	0.3947141508
459	0.3945875895
460	0.394413656
461	0.3943793294
462	0.3941220238
463	0.3940127173
464	0.3938209015
465	0.3936934513
466	0.3934753873
467	0.3932265784
468	0.3931065008
469	0.3929767499
470	0.3928494043
471	0.3927416665
472	0.3926785557
473	0.3924038124
474	0.3922125717
475	0.3920417231
476	0.3919789
477	0.3918381166
478	0.3917732542
479	0.3915241055
480	0.3914306159
481	0.3913431393
482	0.3912435059
483	0.3911646045
484	0.3910617554
485	0.3909239262
486	0.3908507502
487	0.3907782017
488	0.3905296019
489	0.3904153804
490	0.390168114
491	0.3900369514
492	0.3898260769
493	0.3896852412
494	0.3896205096
495	0.3895081965
496	0.389411256
497	0.3891760418
498	0.3889431021
499	0.3887489333
500	0.3887043846
501	0.3886086989
502	0.388498948
503	0.3883875238
504	0.3883206484
505	0.388207159
506	0.3881345058
507	0.3880931989
508	0.38787205
509	0.3877125215
510	0.3875646793
511	0.3873793994
512	0.3872159495
513	0.3870981725
514	0.3869858071
515	0.3869306964
516	0.3867778869
517	0.3865880319
518	0.3864812352
519	0.3864164512
520	0.3863011578
521	0.3860072773
522	0.3858024682
523	0.3857115929
524	0.3854702611
525	0.3851306554
526	0.3848975327
527	0.3847294814
528	0.384618737
529	0.3845073913
530	0.3843575622
531	0.3842060337
532	0.3839919697
533	0.3839235519
534	0.3837903762
535	0.383694037
536	0.3835864036
537	0.3834682344
538	0.3833391372
539	0.3831242105
540	0.3829648389
541	0.3828235065
542	0.3827416508
543	0.3825788021
544	0.3824704629
545	0.3823058888
546	0.382138465
547	0.3819755379
548	0.3819359303
549	0.3817503106
550	0.3816999318
551	0.3814509922
552	0.3811328504
553	0.3810675436
554	0.3808822376
555	0.3807531142
556	0.3806761212
557	0.380569403
558	0.3804516259
559	0.3802803329
560	0.3801138503
561	0.3799988967
562	0.3797718655
563	0.379645278
564	0.3795779843
565	0.3794633445
566	0.3793935933
567	0.3792923129
568	0.3791832156
569	0.3790239486
570	0.3787360811
571	0.3787052578
572	0.3784581744
573	0.378364188
574	0.3782873258
575	0.378184163
576	0.3780752487
577	0.3780195889
578	0.3779387528
579	0.3776731597
580	0.3775702322
581	0.3774626774
582	0.3773059202
583	0.3771586008
584	0.3770349938
585	0.376833165
586	0.3767170873
587	0.3766365126
588	0.3765630752
589	0.3764104225
590	0.3763425275
591	0.3762194172
592	0.3761088035
593	0.3758646743
594	0.375689146
595	0.3756317346
596	0.3754346378
597	0.3752011752
598	0.375101385
599	0.3749893595
600	0.3748406546
601	0.3747202109
602	0.3746303814
603	0.3745644733
604	0.3744023828
605	0.3743618079
606	0.3742250768
607	0.3741810509
608	0.3740821757
609	0.3738466739
610	0.373782988
611	0.3737080343
612	0.3734899441
613	0.3733870951
614	0.3731662076
615	0.3729572154
616	0.3728473338
617	0.372762001
618	0.3726013222
619	0.3724707871
620	0.3723330625
621	0.3721801484
622	0.3719546073
623	0.3718304513
624	0.3716285702
625	0.3715199173
626	0.3714391596
627	0.3711838932
628	0.3710332798
629	0.3708707187
630	0.3708263791
631	0.3706757657
632	0.370539662
633	0.3704491527
634	0.3703182516
635	0.3702146444
636	0.3700610506
637	0.3699526068
638	0.369837784
639	0.369701445
640	0.3694807405
641	0.3693334212
642	0.3692304414
643	0.3690563772
644	0.3689408223
645	0.3688966135
646	0.3687974768
647	0.3686442752
648	0.3684672305
649	0.3683965643
650	0.3682229445
651	0.3680957296
652	0.3680183967
653	0.3679497436
654	0.3677531174
655	0.3674912105
656	0.3674316815
657	0.3673390285
658	0.3671970424
659	0.3670431872
660	0.3668606785
661	0.3667641563
662	0.3666122618
663	0.3665665104
664	0.366468132
665	0.3662463033
666	0.3660592456
667	0.3658772337
668	0.3657060191
669	0.365484478
670	0.3653360606
671	0.3652335253
672	0.3651248463
673	0.3649943111
674	0.3648379723
675	0.3646542871
676	0.3645031508
677	0.3643614524
678	0.3642254009
679	0.3641161206
680	0.3639935593
681	0.3639295597
682	0.363776724
683	0.3636399928
684	0.3633972493
685	0.3632069498
686	0.363134532
687	0.3630190817
688	0.3628461939
689	0.3627340377
690	0.3626621689
691	0.3625548493
692	0.3623965758
693	0.3623346938
694	0.3622446552
695	0.3621471656
696	0.362042199
697	0.361961023
698	0.3619057815
699	0.3616514563
700	0.3614372093
701	0.3612659685
702	0.3611224139
703	0.361025055
704	0.3608978401
705	0.3608291347
706	0.360691593
707	0.3604935028
708	0.3603161444
709	0.3601782368
710	0.3600623421
711	0.3599261077
712	0.3597868144
713	0.3596805406
714	0.359596698
715	0.3595061626
716	0.3593936404
717	0.3592833404
718	0.3591683085
719	0.3590635771
720	0.3589478131
721	0.3587969383
722	0.3586790567
723	0.3584999467
724	0.3582938565
725	0.3581774912
726	0.3580675834
727	0.3579072706
728	0.3576797165
729	0.3575602401
730	0.3573483722
731	0.3572602943
732	0.3571566348
733	0.3570167403
734	0.3569602962
735	0.3567790163
736	0.3565922985
737	0.356419097
738	0.3562046147
739	0.3560749423
740	0.3559395444
741	0.3558301595
