iter	Passed	Remaining
0	35	35616
1	67	33726
2	98	32753
3	129	32218
4	160	31922
5	192	31876
6	224	31869
7	257	31880
8	288	31716
9	318	31516
10	348	31342
11	378	31178
12	408	31033
13	435	30697
14	462	30387
15	491	30207
16	519	30018
17	547	29863
18	574	29684
19	601	29486
20	627	29271
21	655	29146
22	683	29017
23	711	28920
24	739	28827
25	767	28741
26	793	28601
27	819	28442
28	846	28328
29	871	28164
30	897	28066
31	924	27975
32	952	27900
33	977	27778
34	1002	27651
35	1029	27563
36	1055	27469
37	1080	27358
38	1106	27271
39	1134	27232
40	1160	27141
41	1187	27089
42	1215	27059
43	1243	27010
44	1270	26965
45	1299	26949
46	1325	26872
47	1351	26812
48	1376	26723
49	1405	26700
50	1435	26706
51	1462	26654
52	1490	26633
53	1515	26557
54	1539	26454
55	1564	26373
56	1591	26328
57	1619	26310
58	1647	26274
59	1672	26200
60	1699	26153
61	1725	26103
62	1751	26052
63	1779	26022
64	1805	25968
65	1833	25940
66	1861	25916
67	1885	25840
68	1909	25761
69	1936	25727
70	1957	25616
71	1982	25553
72	2010	25530
73	2038	25505
74	2066	25489
75	2093	25446
76	2115	25360
77	2142	25323
78	2168	25275
79	2194	25241
80	2220	25189
81	2246	25149
82	2271	25093
83	2293	25009
84	2319	24969
85	2345	24926
86	2372	24897
87	2399	24866
88	2426	24835
89	2451	24790
90	2478	24755
91	2504	24713
92	2524	24620
93	2545	24535
94	2570	24490
95	2597	24462
96	2622	24413
97	2646	24359
98	2672	24319
99	2700	24302
100	2726	24272
101	2749	24208
102	2770	24129
103	2799	24123
104	2825	24080
105	2852	24057
106	2878	24027
107	2905	24000
108	2931	23959
109	2959	23945
110	2985	23913
111	3012	23881
112	3039	23861
113	3067	23837
114	3091	23794
115	3120	23776
116	3144	23728
117	3167	23679
118	3195	23655
119	3221	23627
120	3248	23595
121	3276	23576
122	3303	23551
123	3330	23529
124	3356	23494
125	3385	23480
126	3411	23453
127	3436	23412
128	3458	23353
129	3481	23299
130	3508	23276
131	3534	23241
132	3561	23219
133	3589	23200
134	3614	23160
135	3641	23131
136	3669	23114
137	3695	23082
138	3718	23032
139	3745	23005
140	3770	22971
141	3797	22945
142	3824	22922
143	3852	22900
144	3877	22866
145	3900	22817
146	3922	22763
147	3950	22740
148	3977	22714
149	4004	22689
150	4032	22672
151	4060	22652
152	4088	22632
153	4116	22612
154	4143	22587
155	4169	22556
156	4197	22536
157	4223	22508
158	4252	22493
159	4277	22457
160	4307	22446
161	4333	22416
162	4359	22384
163	4386	22358
164	4414	22341
165	4439	22304
166	4465	22273
167	4492	22249
168	4520	22229
169	4547	22203
170	4574	22178
171	4602	22157
172	4631	22139
173	4661	22129
174	4689	22107
175	4719	22097
176	4747	22073
177	4774	22048
178	4802	22025
179	4826	21986
180	4854	21964
181	4882	21943
182	4911	21927
183	4939	21905
184	4967	21884
185	4996	21866
186	5024	21844
187	5052	21822
188	5080	21799
189	5106	21771
190	5136	21757
191	5165	21736
192	5195	21724
193	5223	21700
194	5250	21675
195	5278	21651
196	5305	21626
197	5333	21605
198	5361	21578
199	5388	21552
200	5414	21524
201	5442	21501
202	5470	21476
203	5495	21443
204	5518	21402
205	5545	21372
206	5569	21337
207	5593	21300
208	5618	21262
209	5643	21231
210	5667	21194
211	5694	21164
212	5718	21130
213	5744	21100
214	5769	21063
215	5793	21027
216	5818	20993
217	5846	20972
218	5876	20958
219	5908	20947
220	5936	20924
221	5963	20897
222	5991	20875
223	6016	20843
224	6045	20822
225	6071	20793
226	6096	20759
227	6123	20735
228	6156	20727
229	6186	20712
230	6213	20685
231	6244	20670
232	6270	20642
233	6301	20628
234	6344	20652
235	6376	20641
236	6404	20617
237	6432	20593
238	6468	20597
239	6498	20578
240	6533	20577
241	6562	20556
242	6590	20530
243	6624	20526
244	6653	20502
245	6683	20484
246	6714	20469
247	6741	20442
248	6816	20559
249	6848	20546
250	6881	20534
251	6910	20512
252	6938	20486
253	6973	20480
254	7051	20602
255	7115	20678
256	7148	20666
257	7181	20654
258	7211	20631
259	7240	20606
260	7269	20582
261	7351	20707
262	7383	20690
263	7424	20699
264	7467	20712
265	7514	20735
266	7556	20745
267	7611	20788
268	7645	20776
269	7686	20782
270	7717	20761
271	7749	20741
272	7786	20735
273	7818	20715
274	7875	20761
275	7934	20812
276	7973	20811
277	8006	20793
278	8051	20806
279	8083	20785
280	8117	20771
281	8158	20771
282	8326	21095
283	8360	21078
284	8388	21044
285	8418	21017
286	8450	20993
287	8481	20968
288	8509	20934
289	8534	20894
290	8561	20858
291	8587	20822
292	8616	20790
293	8644	20759
294	8674	20729
295	8701	20695
296	8730	20664
297	8757	20630
298	8782	20590
299	8809	20554
300	8832	20511
301	8858	20474
302	8881	20430
303	8907	20394
304	8932	20354
305	8958	20317
306	8987	20287
307	9014	20252
308	9041	20218
309	9067	20183
310	9094	20147
311	9120	20111
312	9148	20080
313	9175	20044
314	9196	19998
315	9216	19949
316	9239	19907
317	9265	19870
318	9288	19830
319	9313	19792
320	9339	19755
321	9363	19716
322	9388	19677
323	9412	19639
324	9436	19597
325	9459	19557
326	9482	19515
327	9506	19477
328	9533	19444
329	9560	19410
330	9585	19374
331	9611	19339
332	9636	19301
333	9662	19266
334	9689	19233
335	9717	19202
336	9742	19166
337	9769	19134
338	9795	19100
339	9823	19069
